Code,Name,Native,Rtf
af,Afrikaans,Afrikaans,
am,Amharic,አማርኛ,
ar,Arabic,العربية,1
ay,Aymara,Aymar,
az,Azerbaijani,Azərbaycanca / آذربايجان,
be,Belarusian,Беларуская,
bg,Bulgarian,Български,
bi,Bislama,Bislama,
bn,Bengali,বাংলা,
bs,Bosnian,Bosanski,
ca,Catalan,Català,
ch,Chamorro,Chamoru,
cs,Czech,Čeština,
da,Danish,Dansk,
de,German,Deutsch,
dv,Divehi,ދިވެހިބަސް,1
dz,Dzongkha,ཇོང་ཁ,
el,Greek,Ελληνικά,
en,English,English,
es,Spanish,Español,
et,Estonian,Eesti,
eu,Basque,Euskara,
fa,Persian,فارسی,1
ff,Peul,Fulfulde,
fi,Finnish,Suomi,
fj,Fijian,Na Vosa Vakaviti,
fo,Faroese,Føroyskt,
fr,French,Français,
ga,Irish,Gaeilge,
gl,Galician,Galego,
gn,Guarani,Avañe'ẽ,
gv,Manx,Gaelg,
he,Hebrew,עברית,1
hi,Hindi,हिन्दी,
hr,Croatian,Hrvatski,
ht,Haitian,Krèyol ayisyen,
hu,Hungarian,Magyar,
hy,Armenian,Հայերեն,
id,Indonesian,Bahasa Indonesia,
is,Icelandic,Íslenska,
it,Italian,Italiano,
ja,Japanese,日本語,
ka,Georgian,ქართული,
kg,Kongo,KiKongo,
kk,Kazakh,Қазақша,
kl,Greenlandic,Kalaallisut,
km,Cambodian,ភាសាខ្មែរ,
ko,Korean,한국어,
ku,Kurdish,Kurdî / كوردی,1
ky,Kyrgyz,Кыргызча,
la,Latin,Latina,
lb,Luxembourgish,Lëtzebuergesch,
ln,Lingala,Lingála,
lo,Laotian,ລາວ / Pha xa lao,
lt,Lithuanian,Lietuvių,
lu,Luba-Katanga,Tshiluba,
lv,Latvian,Latviešu,
mg,Malagasy,Malagasy,
mh,Marshallese,Kajin Majel / Ebon,
mi,Maori,Māori,
mk,Macedonian,Македонски,
mn,Mongolian,Монгол,
ms,Malay,Bahasa Melayu,
mt,Maltese,bil-Malti,
my,Burmese,မြန်မာစာ,
na,Nauruan,Dorerin Naoero,
nb,Norwegian Bokmål,Norsk bokmål,
nd,North Ndebele,Sindebele,
ne,Nepali,नेपाली,
nl,Dutch,Nederlands,
nn,Norwegian Nynorsk,Norsk nynorsk,
no,Norwegian,Norsk,
nr,South Ndebele,isiNdebele,
ny,Chichewa,Chi-Chewa,
oc,Occitan,Occitan,
pa,Panjabi / Punjabi,ਪੰਜਾਬੀ / पंजाबी / پنجابي,
pl,Polish,Polski,
ps,Pashto,پښتو,1
pt,Portuguese,Português,
qu,Quechua,Runa Simi,
rn,Kirundi,Kirundi,
ro,Romanian,Română,
ru,Russian,Русский,
rw,Rwandi,Kinyarwandi,
sg,Sango,Sängö,
si,Sinhalese,සිංහල,
sk,Slovak,Slovenčina,
sl,Slovenian,Slovenščina,
sm,Samoan,Gagana Samoa,
sn,Shona,chiShona,
so,Somalia,Soomaaliga,
sq,Albanian,Shqip,
sr,Serbian,Српски,
ss,Swati,SiSwati,
st,Southern Sotho,Sesotho,
sv,Swedish,Svenska,
sw,Swahili,Kiswahili,
ta,Tamil,தமிழ்,
tg,Tajik,Тоҷикӣ,
th,Thai,ไทย / Phasa Thai,
ti,Tigrinya,ትግርኛ,
tk,Turkmen,Туркмен / تركمن,
tn,Tswana,Setswana,
to,Tonga,Lea Faka-Tonga,
tr,Turkish,Türkçe,
ts,Tsonga,Xitsonga,
uk,Ukrainian,Українська,
ur,Urdu,اردو,1
uz,Uzbek,Ўзбек,
ve,Venda,Tshivenḓa,
vi,Vietnamese,Tiếng Việt,
xh,Xhosa,isiXhosa,
zh,Chinese,中文,
zu,Zulu,isiZulu,